ticker,industry,index
FL,Retail,DJUSRT
VSCO,Retail,DJUSRT
OLLI,Retail,DJUSRT
SIG,Retail,DJUSRT
EYE,Retail,DJUSRT
KSS,Retail,DJUSRT
AEO,Retail,DJUSRT
GO,Retail,DJUSRT
WOOF,Retail,DJUSRT
JWN,Retail,DJUSRT
GPI,Retail,DJUSRT
RUSHA,Retail,DJUSRT
CRI,Retail,DJUSRT
URBN,Retail,DJUSRT
WMK,Retail,DJUSRT
LESL,Retail,DJUSRT
BKE,Retail,DJUSRT
ODP,Retail,DJUSRT
PSMT,Retail,DJUSRT
CWH,Retail,DJUSRT
BOOT,Retail,DJUSRT
IMKTA,Retail,DJUSRT
NVDA,Semiconductor,DJUSSC
AVGO,Semiconductor,DJUSSC
TXN,Semiconductor,DJUSSC
QCOM,Semiconductor,DJUSSC
INTC,Semiconductor,DJUSSC
AMD,Semiconductor,DJUSSC
ADI,Semiconductor,DJUSSC
MU,Semiconductor,DJUSSC
KLAC,Semiconductor,DJUSSC
NXPI,Semiconductor,DJUSSC
ENPH,Semiconductor,DJUSSC
MCHP,Semiconductor,DJUSSC
TEL,Semiconductor,DJUSSC
MRVL,Semiconductor,DJUSSC
GFS,Semiconductor,DJUSSC
ON,Semiconductor,DJUSSC
MPWR,Semiconductor,DJUSSC
FSLR,Semiconductor,DJUSSC
SWKS,Semiconductor,DJUSSC
QRVO,Semiconductor,DJUSSC
WOLF,Semiconductor,DJUSSC
LSCC,Semiconductor,DJUSSC
AMKR,Semiconductor,DJUSSC
